Event	ID	Name			Wwise Object Path	Notes
	25254557	playerWeaponCooldown			\Default Work Unit\playerEvents\playerWeaponCooldown	
	234843287	playerDashBack			\Default Work Unit\playerEvents\playerDashBack	
	526621624	enemyWeaponsEventHits			\Default Work Unit\enemyEvents\enemyWeaponsEventHits	
	598450249	looser			\Default Work Unit\backgroundEvents\looser	
	688112595	waitingRoom			\Default Work Unit\Music\waitingRoom	
	723260870	enemyEventsDie			\Default Work Unit\enemyEvents\enemyEventsDie	
	837658052	TestMusicLoop			\Default Work Unit\Music\TestMusicLoop	
	911993200	ButtonFancy			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonFancy	
	927588791	ButtonOver			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonOver	
	1082178505	playerEventsDie			\Default Work Unit\playerEvents\playerEventsDie	
	1190501004	startCount			\Default Work Unit\backgroundEvents\startCount	
	1317595701	playerDashCooldown			\Default Work Unit\playerEvents\playerDashCooldown	
	1389296758	enemyWeaponsEventsDrop			\Default Work Unit\enemyEvents\enemyWeaponsEventsDrop	
	1502067097	roundThree			\Default Work Unit\Music\roundThree	
	1505439485	playerEventsDash			\Default Work Unit\playerEvents\playerEventsDash	
	1643626701	playerWeaponsEventsDrop			\Default Work Unit\playerEvents\playerWeaponsEventsDrop	
	1744576738	playerEventsFootsteps			\Default Work Unit\playerEvents\playerEventsFootsteps	
	1964277448	timerTic			\Default Work Unit\backgroundEvents\timerTic	
	1980102556	enemyWeaponCooldown			\Default Work Unit\enemyEvents\enemyWeaponCooldown	
	2134179288	timerEndBuzz			\Default Work Unit\backgroundEvents\timerEndBuzz	
	2172152223	enemyEventsFall			\Default Work Unit\enemyEvents\enemyEventsFall	
	2242007041	endOfRound			\Default Work Unit\backgroundEvents\endOfRound	
	2354176855	objectEventsCrateHit			\Default Work Unit\objectEvents\objectEventsCrateHit	
	2381628217	objectEventsHeal			\Default Work Unit\objectEvents\objectEventsHeal	
	2509028246	playerEventsFall			\Default Work Unit\playerEvents\playerEventsFall	
	2607198388	playerEventsSlash			\Default Work Unit\playerEvents\playerEventsSlash	
	2772879681	enemyEventsFootsteps			\Default Work Unit\enemyEvents\enemyEventsFootsteps	
	2963827865	objectEventsCathammerOnGround			\Default Work Unit\objectEvents\objectEventsCathammerOnGround	
	2987073838	enemyDashBack			\Default Work Unit\enemyEvents\enemyDashBack	
	3035999688	winner			\Default Work Unit\backgroundEvents\winner	
	3156796827	roundTwo			\Default Work Unit\Music\roundTwo	
	3175741232	enemyEventsDash			\Default Work Unit\enemyEvents\enemyEventsDash	
	3200381734	enemyEventsTouched			\Default Work Unit\enemyEvents\enemyEventsTouched	
	3275667245	roundOne			\Default Work Unit\Music\roundOne	
	3292113943	enemyEventsSlash			\Default Work Unit\enemyEvents\enemyEventsSlash	
	3327793297	playerEventsTouched			\Default Work Unit\playerEvents\playerEventsTouched	
	3389008624	ButtonLaunch			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonLaunch	
	4051332235	ButtonClick			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonClick	
	4152903161	playerWeaponsEventHits			\Default Work Unit\playerEvents\playerWeaponsEventHits	
	4196958256	enemyDashCooldown			\Default Work Unit\enemyEvents\enemyDashCooldown	
	4263813725	objectEventsFenceHit			\Default Work Unit\objectEvents\objectEventsFenceHit	

Switch Group	ID	Name			Wwise Object Path	Notes
	1861379221	switcheWeaponsType			\Default Work Unit\switcheWeaponsType	
	4139584672	switchHit			\Default Work Unit\switchHit	

Switch	ID	Name	Switch Group			Notes
	1444194542	switcheWeaponsTypeSign	switcheWeaponsType			
	3160374033	switcheWeaponsTypePipe	switcheWeaponsType			
	3307155126	switcheWeaponsTypeBat	switcheWeaponsType			
	3771686185	switcheWeaponsTypeCathammer	switcheWeaponsType			
	624013381	lowHP	switchHit			
	2639122072	mediumHP	switchHit			
	2942549062	fullHP	switchHit			

State Group	ID	Name			Wwise Object Path	Notes
	3103015060	musicStates			\Music\musicStates	

State	ID	Name	State Group			Notes
	19135406	waiting	musicStates			
	748895195	None	musicStates			
	1502067097	roundThree	musicStates			
	3156796827	roundTwo	musicStates			
	3275667245	roundOne	musicStates			

Game Parameter	ID	Name			Wwise Object Path	Notes
	847161145	rtpcGameTimer			\Default Work Unit\rtpcGameTimer	
	1693736946	rtpcPlayerVoicePerHealth			\Default Work Unit\rtpcPlayerVoicePerHealth	
	3236278648	rtpcSlashSoundPerVelocity			\Default Work Unit\rtpcSlashSoundPerVelocity	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4507446	timerBuzz	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\E2\{E2AD88E1-9808-5026-BC13-BAE30C011A8B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\backgroundWorkUnit\backgroundSounds\backgroundSoundBuzz\timerBuzz		654464
	12393257	playerFallSounds03	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\08\{0819356C-F261-2211-413F-B17586F21C24}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerFallSounds\playerFallSounds03		799596
	45263272	playerSignSlash03	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\43\{4328941B-D5E1-7906-0E8A-9C82A3D921CE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerWeaponsSounds\playerSwitchSlash\playerSignSlash\playerSignSlash03		155744
	51345580	cathammerDrop02	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\2E\{2E96DAA1-4852-707F-11FE-452D065D7580}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchDrop\enemyDropCathammer\cathammerDrop02		132000
	56456659	pipeSlash02	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\7A\{7AC778BB-D7B5-657D-0F00-E789F3434136}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchSlash\enemyPipeSlash\pipeSlash02		163936
	113016683	MUS_INTRO_LOOP_140bpm	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\B9\{B99D3841-C877-82E9-A4A9-2D44DF3CA93F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Music\MUS_INTRO_LOOP_140bpm		5266380
	124598845	hit01c	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\3E\{3E3DC744-7932-9028-052B-29CE057A72D8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerTouchSounds\playerSwichTouched\HitpointFull\hit01c		25432
	137305741	pipeHit03	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\C9\{C902094A-5CF4-304F-B004-7589378A1B4D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchHit\enemyPipeHit\pipeHit03		98980
	137412868	playerBatHit02	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\8E\{8E477640-2ADA-F472-E439-EF319ADD7BE9}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerWeaponsSounds\playerSwitchHit\playerBatHit\playerBatHit02		142512
	141785005	FOOTSTEP CONCRETE2	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\40\{4056A0C9-2CBA-772A-EBC5-F9F372ED15AC}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerFootstepsSounds\playerRandomFootsteps\FOOTSTEP CONCRETE2		46612
	151921897	cathammerOnGround04	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\16\{16A8A08F-C0B2-6F7C-BB6C-15965E918FBB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\objectWorkUnit\objectSounds\objectCathammerOnGround\CatHammerOnGround\cathammerOnGround04		207504
	164347721	enemyDieOnGround1	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\9E\{9ED5719F-A98B-323F-B709-56958E71A743}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyDieSounds\enemyDieOnGround1		186844
	167231452	playerCathammerSlash01	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\D3\{D30427E2-AE8F-D51B-3BE4-CC7A7CED3B9E}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerWeaponsSounds\playerSwitchSlash\playerCathammerSlash\playerCathammerSlash01		274528
	182389558	loser	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\94\{9466A8B7-0C1C-23C9-D46E-A933CDF1C743}.wem		\Actor-Mixer Hierarchy\Default Work Unit\backgroundWorkUnit\backgroundSounds\loser		303328
