Event	ID	Name			Wwise Object Path	Notes
	25254557	playerWeaponCooldown			\Default Work Unit\playerEvents\playerWeaponCooldown	
	526621624	enemyWeaponsEventHits			\Default Work Unit\enemyEvents\enemyWeaponsEventHits	
	598450249	Looser			\Default Work Unit\backgroundEvents\Looser	
	688112595	waitingRoom			\Default Work Unit\backgroundEvents\waitingRoom	
	723260870	enemyEventsDie			\Default Work Unit\enemyEvents\enemyEventsDie	
	911993200	ButtonFancy			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonFancy	
	927588791	ButtonOver			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonOver	
	1082178505	playerEventsDie			\Default Work Unit\playerEvents\playerEventsDie	
	1190501004	startCount			\Default Work Unit\backgroundEvents\startCount	
	1251401278	TestSystemVR			\Default Work Unit\TestEvent\TestSystemVR	
	1317595701	playerDashCooldown			\Default Work Unit\playerEvents\playerDashCooldown	
	1389296758	enemyWeaponsEventsDrop			\Default Work Unit\enemyEvents\enemyWeaponsEventsDrop	
	1505439485	playerEventsDash			\Default Work Unit\playerEvents\playerEventsDash	
	1643626701	playerWeaponsEventsDrop			\Default Work Unit\playerEvents\playerWeaponsEventsDrop	
	1744576738	playerEventsFootsteps			\Default Work Unit\playerEvents\playerEventsFootsteps	
	1964277448	TimerTic			\Default Work Unit\backgroundEvents\TimerTic	
	1980102556	enemyWeaponCooldown			\Default Work Unit\enemyEvents\enemyWeaponCooldown	
	2044738387	musicSound			\Default Work Unit\backgroundEvents\musicSound	
	2134179288	TimerEndBuzz			\Default Work Unit\backgroundEvents\TimerEndBuzz	
	2172152223	enemyEventsFall			\Default Work Unit\enemyEvents\enemyEventsFall	
	2354176855	objectEventsCrateHit			\Default Work Unit\objectEvents\objectEventsCrateHit	
	2381628217	objectEventsHeal			\Default Work Unit\objectEvents\objectEventsHeal	
	2509028246	playerEventsFall			\Default Work Unit\playerEvents\playerEventsFall	
	2607198388	playerEventsSlash			\Default Work Unit\playerEvents\playerEventsSlash	
	2772879681	enemyEventsFootsteps			\Default Work Unit\enemyEvents\enemyEventsFootsteps	
	2963827865	objectEventsCathammerOnGround			\Default Work Unit\objectEvents\objectEventsCathammerOnGround	
	3175741232	enemyEventsDash			\Default Work Unit\enemyEvents\enemyEventsDash	
	3200381734	enemyEventsTouched			\Default Work Unit\enemyEvents\enemyEventsTouched	
	3292113943	enemyEventsSlash			\Default Work Unit\enemyEvents\enemyEventsSlash	
	3327793297	playerEventsTouched			\Default Work Unit\playerEvents\playerEventsTouched	
	3389008624	ButtonLaunch			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonLaunch	
	3425412358	TestSystem			\Default Work Unit\TestEvent\TestSystem	
	4051332235	ButtonClick			\Default Work Unit\backgroundEvents\ButtonsEvent\ButtonClick	
	4069940938	combatSound			\Default Work Unit\backgroundEvents\combatSound	
	4152903161	playerWeaponsEventHits			\Default Work Unit\playerEvents\playerWeaponsEventHits	
	4196958256	enemyDashCooldown			\Default Work Unit\enemyEvents\enemyDashCooldown	
	4263813725	objectEventsFenceHit			\Default Work Unit\objectEvents\objectEventsFenceHit	

Switch Group	ID	Name			Wwise Object Path	Notes
	1861379221	switcheWeaponsType			\Default Work Unit\switcheWeaponsType	
	4139584672	switchHit			\Default Work Unit\switchHit	

Switch	ID	Name	Switch Group			Notes
	1444194542	switcheWeaponsTypeSign	switcheWeaponsType			
	3160374033	switcheWeaponsTypePipe	switcheWeaponsType			
	3307155126	switcheWeaponsTypeBat	switcheWeaponsType			
	3771686185	switcheWeaponsTypeCathammer	switcheWeaponsType			
	624013381	lowHP	switchHit			
	2639122072	mediumHP	switchHit			
	2942549062	fullHP	switchHit			

State Group	ID	Name			Wwise Object Path	Notes
	3103015060	musicStates			\Default Work Unit\musicStates	

State	ID	Name	State Group			Notes
	748895195	None	musicStates			
	984691642	inGame	musicStates			
	3862977292	Wainting	musicStates			

Game Parameter	ID	Name			Wwise Object Path	Notes
	847161145	rtpcGameTimer			\Default Work Unit\rtpcGameTimer	
	1693736946	rtpcPlayerVoicePerHealth			\Default Work Unit\rtpcPlayerVoicePerHealth	
	3236278648	rtpcSlashSoundPerVelocity			\Default Work Unit\rtpcSlashSoundPerVelocity	

Effect plug-ins	ID	Name	Type				Notes
	654807232	Chipmunk	Wwise Pitch Shifter			
	819943492	Fear_no_Evil	Wwise Harmonizer			
	1674078407	Chorus_Like	Wwise Flanger			
	3354577677	Fast_LF_Tremolo	Wwise Tremolo			
	3796564934	Hard_Knee_Minus_3dB_RMS	Wwise Compressor			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4507446	timerBuzz	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\E2\{E2AD88E1-9808-5026-BC13-BAE30C011A8B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\backgroundWorkUnit\backgroundSounds\backgroundSoundBuzz\timerBuzz		654464
	12393257	playerFallSounds03	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\08\{0819356C-F261-2211-413F-B17586F21C24}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerFallSounds\playerFallSounds03		799596
	29515173	cathammerSlash02	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\0A\{0A27A3A1-E9D4-2407-9D36-F50764ECC69B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchSlash\enemyCathammerSlash\cathammerSlash02		214444
	44326190	pipeSlash01	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\99\{992A5DE6-1ECB-2861-71D2-94E8B95963D5}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchSlash\enemyPipeSlash\pipeSlash01		106156
	51345580	cathammerDrop02	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\2E\{2E96DAA1-4852-707F-11FE-452D065D7580}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchDrop\enemyDropCathammer\cathammerDrop02		132000
	60488332	cathammerSlash03	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\77\{778BC8FC-71B2-498A-EA11-1A8F274102AB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchSlash\enemyCathammerSlash\cathammerSlash03		251244
	100483372	playerSignSlash03	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\88\{889D01BA-123A-6F01-97DA-68D6675926DE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerWeaponsSounds\playerSwitchSlash\playerSignSlash\playerSignSlash03		101664
	124598845	hit01c	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\3E\{3E3DC744-7932-9028-052B-29CE057A72D8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerTouchSounds\playerSwichTouched\HitpointFull\hit01c		25432
	137305741	pipeHit03	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\C9\{C902094A-5CF4-304F-B004-7589378A1B4D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyWeaponsSounds\enemySwitchHit\enemyPipeHit\pipeHit03		98980
	137412868	playerBatHit02	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\8E\{8E477640-2ADA-F472-E439-EF319ADD7BE9}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerWeaponsSounds\playerSwitchHit\playerBatHit\playerBatHit02		142512
	141785005	FOOTSTEP CONCRETE2	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\40\{4056A0C9-2CBA-772A-EBC5-F9F372ED15AC}.wem		\Actor-Mixer Hierarchy\Default Work Unit\playerWorkUnit\playerSounds\playerFootstepsSounds\playerRandomFootsteps\FOOTSTEP CONCRETE2		46612
	151921897	cathammerOnGround04	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\16\{16A8A08F-C0B2-6F7C-BB6C-15965E918FBB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\objectWorkUnit\objectSounds\objectCathammerOnGround\CatHammerOnGround\cathammerOnGround04		207504
	164347721	enemyDieOnGround1	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\9E\{9ED5719F-A98B-323F-B709-56958E71A743}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyDieSounds\enemyDieOnGround1		186844
	182389558	loser	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\94\{9466A8B7-0C1C-23C9-D46E-A933CDF1C743}.wem		\Actor-Mixer Hierarchy\Default Work Unit\backgroundWorkUnit\backgroundSounds\loser		303328
	185614865	enemyFallSounds01	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\88\{88ED26E5-8656-A4C5-C123-6F5C6CC68F9C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyFallSounds\enemyFallSounds01		387720
	220346169	FOOTSTEP CONCRETE3	C:\U\BluntBrawl\BluntBrawl\BluntBrawl_WwiseProject\.cache\A2\{A2F10616-DFB6-BA5D-12F3-02F91EA200D2}.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemyWorkUnit\enemySounds\enemyFootstepsSounds\enemyRandomFootsteps\FOOTSTEP CONCRETE3		36060
